,official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
0,!Xun,Vulnerable,18000,South Africa;Namibia;Angola,0,0,0,0,0,3,68.819,75.7
2,(Lower) Tanana,Critically Endangered,25,United States,0,0,0,0,0,1,83.298,93.1
3,A'ingae,Vulnerable,1500,Colombia;Ecuador,0,0,0,0,0,2,82.354,77.3
4,Aasáx,Extinct,0,Tanzania,0,0,0,0,0,1,37.409,29.1
5,Abaga,Critically Endangered,5,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
6,Abai Sungai,Endangered,500,Malaysia,0,0,0,0,0,1,78.716,97.7
7,Abau,Threatened,7000,Papua New Guinea,0,0,0,0,1,1,13.723,24.1
8,Abaza,Vulnerable,47880,Russian Federation,0,0,0,0,0,1,75.331,92.2
9,Abellen Ayta,Threatened,3500,Philippines,0,0,0,0,0,1,48.287,83.8
10,Abinomn,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
11,Abom,Critically Endangered,15,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
12,Abu,Threatened,2347,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
13,Abu',Threatened,2560,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
14,Abui,Threatened,16000,Indonesia,0,0,0,0,0,1,58.572,69.2
15,Abun,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
16,Achagua,Endangered,283,Colombia,0,0,0,0,0,1,82.354,77.3
17,Aché,Severely Endangered,200,Paraguay,0,0,0,0,0,1,63.149,78.1
19,Achi',Vulnerable,51593,Guatemala,0,0,0,0,0,1,53.098,56.1
20,Achuar,Threatened,5443,Peru;Ecuador,0,0,0,0,0,2,78.922,79.5
21,Achumawi,Critically Endangered,10,United States,0,0,0,0,0,1,83.298,93.1
22,Acoma-Laguna,Threatened,4000,United States,0,0,0,0,0,1,83.298,93.1
23,Adamorobe Sign Language,Threatened,35,Ghana,0,0,0,0,0,1,59.238,69.9
24,Adang,Endangered,7000,Indonesia,0,1,0,0,0,1,58.572,69.2
25,Adasen Itneg,Threatened,4000,Philippines,0,0,0,0,0,1,48.287,83.8
26,Adi,At risk,100190,India;China,0,1,0,0,1,2,64.57,77.5
27,Adithinngithigh,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
28,Adnyamathanha,Endangered,100,Australia,0,0,0,0,0,1,86.617,97.1
29,Adzera,Vulnerable,28900,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
30,Aer,Endangered,200,Pakistan,0,0,0,0,0,1,38.04,27.4
32,Afra,Threatened,115,Indonesia,0,0,0,0,0,1,58.572,69.2
33,Aftari,Endangered,500,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
34,Agavotaguerra,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
35,Aghu-Tharnggala,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
36,Aghul,Threatened,18000,Russian Federation;Azerbaijan,0,0,0,0,0,2,75.331,92.2
37,Agi,Endangered,670,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
38,Aguaruna,Vulnerable,55000,Peru,0,0,0,0,0,1,78.922,79.5
39,Aguna,Threatened,3470,Benin,0,0,0,0,0,1,50.1,32.2
40,Agwamin,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
41,Ahamb,Endangered,968,Vanuatu,0,0,0,0,0,1,25.976,45.7
42,Àhàn,Endangered,300,Nigeria,0,0,0,0,0,1,54.283,39.2
43,Ahtna,Critically Endangered,30,United States,0,0,0,0,0,1,83.298,93.1
44,Aikanã,Vulnerable,200,Brazil,0,0,0,0,0,1,87.788,84.2
45,Aiku,Endangered,819,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
46,Aimele,Endangered,140,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
48,Ainbai,Endangered,110,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
49,Ainu (China),Threatened,12000,China,0,0,0,0,0,1,64.57,77.5
50,Ainu (Japan),Critically Endangered,2,Japan,0,0,0,0,0,1,92.043,87.0
51,Aiome,Endangered,620,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
52,Aisi,Endangered,250,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
53,Äiwoo,Vulnerable,7926,Solomon Islands,0,0,0,0,0,1,26.037,42.5
55,Ajumbu,Endangered,300,Cameroon,0,0,0,0,0,1,59.315,41.9
56,Ak,Severely Endangered,80,Papua New Guinea,2,5,11,2,2,1,13.723,24.1
60,Akateko,Threatened,5572,Guatemala;Mexico,0,0,0,0,0,2,81.582,81.2
61,Ake,Vulnerable,2000,Nigeria,0,0,0,0,0,1,54.283,39.2
62,Akeu,Threatened,5000,China;Myanmar;Thailand,0,0,0,0,0,3,64.57,89.5
63,Akhvakh,Threatened,5000,Russian Federation,0,0,0,0,0,1,75.331,92.2
64,Akkala Saami,Critically Endangered,1,Russian Federation,0,0,0,0,0,1,75.331,92.2
65,Akoye,Endangered,800,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
66,Akum,Endangered,600,Nigeria;Cameroon,0,0,0,0,0,2,59.315,41.9
67,Akuntsú,Critically Endangered,3,Brazil,0,0,0,0,0,1,87.788,84.2
68,Al-Sayyid Bedouin Sign Language,Endangered,150,Israel,0,0,0,0,0,1,92.854,87.0
69,Alabama,Endangered,300,United States,0,0,0,0,0,1,83.298,93.1
70,Alabugat Tatar,Threatened,400,Russian Federation,0,0,0,0,0,1,75.331,92.2
71,Alago,Vulnerable,15000,Nigeria,0,0,0,0,0,1,54.283,39.2
72,Alagwa,Threatened,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
73,Alamblak,Threatened,1200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
74,Alawa,Critically Endangered,17,Australia,0,0,0,0,0,1,86.617,97.1
75,Albarradas Zapotec,Threatened,5500,Mexico,0,0,0,0,0,1,81.582,81.2
76,Alekano,Vulnerable,25000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
77,Aleut,Endangered,100,Russian Federation;United States,0,0,0,0,0,2,83.298,93.1
78,Alfendio,Endangered,633,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
79,Algherese Catalan,Vulnerable,30000,Italy,0,0,0,0,0,1,71.973,87.0
81,Alngith,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
82,Alto Marañón Quechua,Vulnerable,83400,Peru,0,0,0,0,0,1,78.922,79.5
83,Alu,Threatened,1880,Papua New Guinea,1,1,1,1,0,1,13.723,24.1
85,Alune,Vulnerable,12000,Indonesia,0,0,0,0,0,1,58.572,69.2
86,Aluo,Endangered,40000,China,0,0,0,0,0,1,64.57,77.5
87,Alutiiq,Severely Endangered,200,United States,0,0,0,0,0,1,83.298,93.1
88,Alutor,Severely Endangered,2000,Russian Federation,0,0,0,0,0,1,75.331,92.2
89,Alyawarr,Vulnerable,1664,Australia,0,0,0,0,0,1,86.617,97.1
90,Ama,Vulnerable,450,Papua New Guinea,3,2,1,4,0,1,13.723,24.1
91,Amahai,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
92,Amal,Endangered,388,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
93,Amami,Severely Endangered,37000,Japan,0,0,0,0,0,1,92.043,87.0
94,Amanab,Threatened,3500,Indonesia;Papua New Guinea,0,0,0,0,0,2,58.572,69.2
95,Amara,Endangered,231,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
96,Amarasi,Vulnerable,70000,Indonesia,0,0,0,0,0,1,58.572,69.2
97,Ambakich,Endangered,770,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
98,Ambele,Vulnerable,3600,Cameroon,0,0,0,0,0,1,59.315,41.9
99,Ambulas,Vulnerable,33000,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
100,Ampari,Threatened,5200,Mali,0,0,0,0,0,1,46.189,35.1
101,Ampibabo,Threatened,6000,Indonesia,0,0,0,0,0,1,58.572,69.2
102,Amto,Endangered,230,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
103,Amur Nivkh,Severely Endangered,500,Russian Federation,0,0,0,0,0,1,75.331,92.2
104,Amurdak,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
105,Anaang,Vulnerable,733040,Nigeria,0,0,0,0,0,1,54.283,39.2
106,Anakalangu,Vulnerable,25000,Indonesia,0,0,0,0,0,1,58.572,69.2
107,Anam,Threatened,1070,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
108,Andajin,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
109,Andarum,Endangered,830,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
110,Ande,Endangered,500,Vanuatu,0,2,1,1,0,1,25.976,45.7
111,Andi,Vulnerable,20000,Russian Federation,2,0,0,1,1,1,75.331,92.2
112,Andio,Threatened,1700,Indonesia,0,0,0,0,0,1,58.572,69.2
113,Anejom̃,Endangered,900,Vanuatu,0,0,0,0,0,1,25.976,45.7
114,Anem,Endangered,843,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
116,Angaité,Severely Endangered,780,Paraguay,0,0,0,0,0,1,63.149,78.1
117,Angor,Threatened,1250,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
118,Angoram,Threatened,6514,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
119,Anii,Vulnerable,25000,Togo;Benin,0,0,0,0,0,2,50.1,37.0
120,Animere,Severely Endangered,30,Ghana,0,0,0,0,0,1,59.238,69.9
121,Anindilyakwa,Threatened,1500,Australia,0,0,0,0,0,1,86.617,97.1
122,Anmatyerre,Threatened,1000,Australia,0,0,0,0,0,1,86.617,97.1
123,Anong,Critically Endangered,4040,China;Myanmar,0,0,0,0,0,2,64.57,77.5
124,Anor,Endangered,450,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
125,Antakirinya,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
126,Antekerrepenh,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
127,Anuki,Threatened,574,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
128,Anus,Endangered,320,Indonesia,0,0,0,0,0,1,58.572,69.2
129,Anuta,Endangered,340,Solomon Islands,0,0,0,0,0,1,26.037,42.5
130,Aore,Extinct,0,Vanuatu,0,0,0,0,0,1,25.976,45.7
131,Ap Ma,Threatened,6500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
132,Apalaí,Endangered,317,Brazil,0,0,0,0,0,1,87.788,84.2
134,Apuriná,Endangered,400,Brazil,0,0,0,0,0,1,87.788,84.2
135,Aputai,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
136,Arabana-Wangkangurru,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
137,Arabela,Critically Endangered,30,Peru,0,0,0,0,0,1,78.922,79.5
138,Aragonese,Endangered,10000,Spain,0,0,1,0,0,1,81.552,95.4
139,Araki,Critically Endangered,15,Vanuatu,0,0,0,0,0,1,25.976,45.7
141,Arapaho,Severely Endangered,1000,United States,0,0,0,0,0,1,83.298,93.1
142,Arapaso,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
143,Araweté,Endangered,339,Brazil,0,0,0,0,0,1,87.788,84.2
144,Arawum,Severely Endangered,73,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
145,Arbëreshë,Vulnerable,100000,Italy,0,0,0,0,0,1,71.973,87.0
147,Archi,Threatened,1237,Russian Federation,0,0,0,0,0,1,75.331,92.2
148,Arem,Critically Endangered,100,Viet Nam;Lao PDR,0,0,0,0,0,2,39.48,78.1
150,Arguni,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
153,Ari,Severely Endangered,50,Papua New Guinea,7,3,8,5,1,1,13.723,24.1
154,Ariba,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
155,Arifama-Miniafia,Threatened,3470,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
156,Arikapú,Critically Endangered,1,Brazil,0,0,0,0,0,1,87.788,84.2
157,Arikara,Critically Endangered,10,United States,0,0,0,0,0,1,83.298,93.1
158,Aromanian,Threatened,350000,Bulgaria;Romania;Greece;Macedonia;Albania;Bosnia and Herzegovina;Serbia,0,0,1,0,0,7,80.673,89.2
159,Arta,Critically Endangered,11,Philippines,0,0,0,0,0,1,48.287,83.8
160,Aru,Endangered,270,Papua New Guinea,1,1,1,1,0,1,13.723,24.1
161,Aruá,Critically Endangered,5,Brazil,0,0,0,0,0,1,87.788,84.2
162,Aruamu,Threatened,5350,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
163,Aruek,Endangered,614,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
164,Aruop,Endangered,700,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
165,Arutani,Critically Endangered,1,"Brazil;Venezuela, RB",0,0,0,0,0,2,88.438,84.2
166,Arvanitika,Vulnerable,50000,Greece,0,0,0,0,0,1,80.673,85.0
167,As,Critically Endangered,6,Indonesia,7,8,7,3,2,1,58.572,69.2
168,Asaba,Threatened,145,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
170,Ashkun,Threatened,7000,Afghanistan,0,0,0,0,0,1,26.933,17.7
171,Ashtiani,Vulnerable,21100,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
172,Assangori,Vulnerable,23500,Sudan;Chad,0,0,0,0,0,2,36.342,13.2
173,Assiniboine,Endangered,150,United States;Canada,0,0,0,0,0,2,83.298,94.0
174,Asturian,At risk,110000,Spain;Portugal,0,0,0,0,0,2,81.552,95.4
175,Asumboa,Severely Endangered,10,Solomon Islands,0,0,0,0,0,1,26.037,42.5
176,Asunción Mixtepec Zapotec,Severely Endangered,100,Mexico,0,0,0,0,0,1,81.582,81.2
178,Asuriní do Tocantins,Endangered,384,Brazil,0,0,0,0,0,1,87.788,84.2
179,Ata,Critically Endangered,4,Philippines,1,3,4,0,1,1,48.287,83.8
180,Atampaya,Critically Endangered,4,Australia,0,0,0,0,0,1,86.617,97.1
181,Athpariya,Threatened,3658,Nepal,0,0,0,0,0,1,21.903,55.8
182,Ati (Philippines),Endangered,1500,Philippines,0,0,0,0,0,1,48.287,83.8
183,Ati (Vanuatu),Severely Endangered,85,Vanuatu,0,0,0,0,0,1,25.976,45.7
184,Atin,Endangered,120,Vanuatu,1,0,0,0,0,1,25.976,45.7
185,Atong (Cameroon),Vulnerable,4200,Cameroon,0,0,0,0,0,1,59.315,41.9
186,Atsugewi,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
187,Attikamek,Vulnerable,3000,Canada,0,0,0,0,0,1,81.862,94.0
188,Au,Threatened,4200,Papua New Guinea,6,3,0,1,2,1,13.723,24.1
189,Aulua,Endangered,750,Vanuatu,0,0,0,0,0,1,25.976,45.7
190,Auré,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
192,Australian Sign Language,Threatened,6500,Australia,0,0,0,0,0,1,86.617,97.1
193,Auvergnat,Threatened,150000,France,0,0,0,0,0,1,81.777,86.8
194,Auwe,Endangered,270,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
195,Auye,Endangered,350,Indonesia,0,0,0,0,0,1,58.572,69.2
196,Avá,Severely Endangered,16,Brazil,0,0,0,0,0,1,87.788,84.2
197,Avava,Vulnerable,700,Vanuatu,0,0,0,0,0,1,25.976,45.7
198,Aveteian,Severely Endangered,50,Vanuatu,0,0,0,0,0,1,25.976,45.7
199,Avok,Endangered,500,Vanuatu,0,0,0,0,0,1,25.976,45.7
200,Awa Pit,Vulnerable,17464,Colombia;Ecuador,0,0,0,0,0,2,82.354,77.3
201,Awakateko,Vulnerable,16272,Guatemala,0,0,0,0,0,1,53.098,56.1
202,Awar,Severely Endangered,1153,Papua New Guinea,1,0,0,0,0,1,13.723,24.1
203,Awbono,Vulnerable,100,Indonesia,0,0,0,0,0,1,58.572,69.2
204,Aweer,Endangered,200,Kenya;Somalia,0,0,0,0,0,2,47.92,35.0
205,Awera,Endangered,100,Indonesia,0,0,0,0,0,1,58.572,69.2
206,Awetí,Endangered,225,Brazil,0,0,0,0,0,1,87.788,84.2
207,Awiakay,Threatened,300,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
208,Awjilah,Threatened,2000,Libya,0,0,0,0,0,1,81.606,88.5
210,Awngthim,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
211,Awtuw,Endangered,400,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
212,Awu Laya,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
213,Awun,Endangered,384,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
214,Awyi,Endangered,400,Indonesia,0,0,0,0,0,1,58.572,69.2
215,Ayacucho Quechua,At risk,850000,Peru,0,0,0,0,0,1,78.922,79.5
216,Ayapanec Zoque,Critically Endangered,3,Mexico,0,0,0,0,0,1,81.582,81.2
217,Ayapathu,Critically Endangered,6,Australia,0,0,0,0,0,1,86.617,97.1
218,Ayerreyenge,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
219,Ayi,Endangered,430,Papua New Guinea,0,1,0,0,0,1,13.723,24.1
220,Ayoquezco,Endangered,880,Mexico,0,0,0,0,0,1,81.582,81.2
221,Ayu,Severely Endangered,200,Nigeria,2,0,0,0,0,1,54.283,39.2
223,Baan,Threatened,5000,Nigeria,0,0,0,0,0,1,54.283,39.2
224,Baba Malay,Critically Endangered,2000,Malaysia;Singapore,0,0,0,0,0,2,100.0,97.7
225,Babalia Creole Arabic,Threatened,3940,Chad,0,0,0,0,0,1,24.366,13.2
226,Babanki,Endangered,20000,Cameroon,0,0,0,0,0,1,59.315,41.9
227,Bade,At risk,250000,Nigeria,0,0,0,0,0,1,54.283,39.2
228,Bädi Kanum,Severely Endangered,10,Indonesia,0,0,0,0,0,1,58.572,69.2
229,Badimaya,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
230,Badjiri,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
232,Badyara,Vulnerable,12000,Senegal;Guinea;Guinea-Bissau,0,0,0,0,0,3,49.579,60.6
233,Baga Binari,Threatened,3000,Guinea,0,0,0,0,0,1,38.085,26.5
234,Baga Koga,Threatened,5000,Guinea,0,0,0,0,0,1,38.085,26.5
235,Baga Manduri,Threatened,4000,Guinea,0,0,0,0,0,1,38.085,26.5
236,Baga Mboteni,Threatened,4900,Guinea,0,0,0,0,0,1,38.085,26.5
237,Baga Sitemu,Threatened,4000,Guinea,0,0,0,0,0,1,38.085,26.5
239,Bago-Kusuntu,Threatened,7500,Togo,0,0,0,0,0,1,44.49,37.0
240,Bagupi,Endangered,58,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
241,Bagvalal,Threatened,6000,Russian Federation,0,0,0,0,0,1,75.331,92.2
242,Bahinemo,Vulnerable,700,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
243,Bahonsuai,Endangered,180,Indonesia,0,0,0,0,0,1,58.572,69.2
245,Baibai,Endangered,271,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
246,Baicoca-Siecoca,Threatened,1174,Peru;Colombia;Ecuador,0,0,0,0,0,3,82.354,79.5
247,Baikeno,Vulnerable,20000,Timor-Leste,0,0,0,0,0,1,32.456,34.0
248,Baima,Threatened,10000,China,0,0,0,0,0,1,64.57,77.5
249,Bainouk-Gunyaamolo,Threatened,6000,Senegal;Gambia,0,0,0,0,0,2,49.579,60.6
250,Bainouk-Samik,Threatened,1850,Senegal,0,0,0,0,0,1,49.579,60.6
251,Baïnounk Gubëeher,Threatened,1100,Senegal,0,0,0,0,0,1,49.579,60.6
252,Bajelani,Vulnerable,20000,"Iran, Islamic Rep.;Iraq",0,0,0,0,0,2,77.257,81.7
253,"Baka (East Region, Cameroon)",Vulnerable,50000,Gabon;Cameroon,0,0,0,0,0,2,91.029,71.9
254,"Baka (Far North Region, Cameroon)",Severely Endangered,140,Cameroon,0,0,0,0,0,1,59.315,41.9
255,Bakairí,Endangered,900,Brazil,0,0,0,0,0,1,87.788,84.2
256,Baki,Endangered,150,Vanuatu,0,0,0,0,0,1,25.976,45.7
257,Bakole,Endangered,300,Cameroon,0,0,0,0,0,1,59.315,41.9
258,Bakpinka,Threatened,3416,Nigeria,0,0,0,0,0,1,54.283,39.2
259,Balaesang,Threatened,3200,Indonesia,0,0,0,0,0,1,58.572,69.2
260,Baldemu,Critically Endangered,3,Cameroon,0,0,0,0,0,1,59.315,41.9
261,Bali,Threatened,1000,Nigeria,0,0,0,0,0,1,54.283,39.2
262,Balkan Gagauz Turkish,Threatened,331000,Turkey;Bulgaria;Macedonia,0,0,0,0,0,3,76.701,80.4
263,Balkan Romani,At risk,611800,"Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Iran, Islamic Rep.;Italy;Greece;Macedonia;Moldova;United Kingdom;Poland;Czech Republic;Netherlands;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro",0,0,0,0,0,30,93.179,97.3
264,Balti,At risk,270000,Pakistan;India,0,0,0,0,0,2,38.04,27.4
265,Baltic Romani,Vulnerable,58460,Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Italy;Greece;Macedonia;United Kingdom;Poland;Czech Republic;Netherlands;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro,0,0,0,0,0,28,93.179,97.3
266,Ban Khor Sign Language,Endangered,400,Thailand,0,0,0,0,0,1,53.608,89.5
267,Bana,Vulnerable,23000,Cameroon,0,1,0,0,0,1,59.315,41.9
268,Banaro,Threatened,2569,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
269,Banawá,Endangered,100,Brazil,0,0,0,0,0,1,87.788,84.2
270,Bandial,Threatened,7000,Senegal,0,0,0,0,0,1,49.579,60.6
271,Bandjalang,Severely Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
272,Bangandu,Threatened,2700,Cameroon;Congo,0,0,0,0,0,2,59.315,41.9
274,Bangime,Threatened,3000,Mali,0,0,0,0,0,1,46.189,35.1
275,Bangka,Critically Endangered,50,Indonesia,0,0,0,0,0,1,58.572,69.2
276,Baniwa,Threatened,9554,"Brazil;Colombia;Venezuela, RB",0,1,0,0,0,3,88.438,84.2
277,Bankagooma,Threatened,6000,Mali,0,0,0,0,0,1,46.189,35.1
278,Bankan Tey,Threatened,1320,Mali,0,0,0,0,0,1,46.189,35.1
279,Bankon,Vulnerable,12000,Cameroon,0,0,0,0,0,1,59.315,41.9
280,Bantawa,Threatened,371056,Nepal,0,0,0,0,0,1,21.903,55.8
281,Bará,Endangered,130,Brazil;Colombia,0,0,0,0,0,2,87.788,84.2
282,Baraba Tatar,Critically Endangered,8000,Russian Federation,0,0,0,0,0,1,75.331,92.2
283,Barababaraba,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
284,Barain,Threatened,5000,Chad,0,0,0,0,0,1,24.366,13.2
285,Baram,Critically Endangered,53,Nepal,0,0,0,0,0,1,21.903,55.8
286,Barambu,Vulnerable,25600,"Congo, Dem. Rep.",0,0,0,0,0,1,47.444,30.5
287,Baras,Endangered,200,Indonesia,0,0,0,0,0,1,58.572,69.2
288,Barasano,Threatened,1924,Brazil;Colombia,0,0,0,0,0,2,87.788,84.2
289,Bardi,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
290,Barí,Vulnerable,4000,"Colombia;Venezuela, RB",0,0,0,0,0,2,88.438,77.3
291,Barombi,Threatened,3000,Cameroon,0,0,0,0,0,1,59.315,41.9
292,Barrow Point,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
293,Bartangi,Vulnerable,2425,Tajikistan,0,0,0,0,0,1,28.234,56.8
294,Bashkardi,Threatened,7030,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
296,Bassa-Kontagora,Critically Endangered,10,Nigeria,0,0,0,0,0,1,54.283,39.2
297,Bassari,Vulnerable,25000,Senegal;Guinea;Guinea-Bissau,0,0,0,0,0,3,49.579,60.6
298,Bataan Ayta,Endangered,527,Philippines,0,0,0,0,0,1,48.287,83.8
299,Batak,Endangered,200,Philippines,0,0,0,0,1,1,48.287,83.8
300,Batek,Endangered,960,Malaysia,0,0,0,0,0,1,78.716,97.7
301,Bateri,Vulnerable,28251,Pakistan;India,0,0,0,0,0,2,38.04,27.4
302,Baṭḥari,Severely Endangered,100,Yemen;Oman,0,0,0,0,0,2,88.4,95.3
303,Bati (Cameroon),Endangered,800,Cameroon,0,0,0,0,0,1,59.315,41.9
304,Bati (Indonesia),Threatened,3500,Indonesia,0,0,0,0,0,1,58.572,69.2
305,Batjamalh,Severely Endangered,12,Australia,0,0,0,0,0,1,86.617,97.1
306,Batsbi,Severely Endangered,800,Georgia,0,0,0,0,0,1,60.727,81.9
307,Batta,Severely Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
308,Baure,Critically Endangered,20,Bolivia,1,0,0,0,0,1,71.186,70.2
310,Bayono,Vulnerable,100,Indonesia,0,0,0,0,0,1,58.572,69.2
311,Bayot,Vulnerable,17150,Senegal;Gambia;Guinea-Bissau,0,0,0,0,0,3,49.579,60.6
313,Bearlake,Endangered,580,Canada,0,0,0,0,0,1,81.862,94.0
314,Bebeli,Severely Endangered,780,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
315,Bedoanas,Endangered,180,Indonesia,0,0,0,0,0,1,58.572,69.2
316,Beeke,Endangered,1000,"Congo, Dem. Rep.",0,0,0,0,0,1,47.444,30.5
317,Behoa,Endangered,6000,Indonesia,0,0,0,0,0,1,58.572,69.2
318,Belait,Severely Endangered,700,Malaysia;Brunei,0,0,0,0,0,2,78.716,97.7
320,Bele,Endangered,120,Nigeria,2,0,0,0,0,1,54.283,39.2
322,Belhariya,Severely Endangered,3,Nepal,0,0,0,0,0,1,21.903,55.8
323,Beli (Papua New Guinea),Vulnerable,1453,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
326,Ben Tey,Threatened,3000,Mali,0,0,0,0,0,1,46.189,35.1
327,Bende,Endangered,41290,Tanzania,0,0,0,0,0,1,37.409,29.1
328,Benggoi,Endangered,320,Indonesia,0,0,0,0,0,1,58.572,69.2
329,Bepour,Severely Endangered,3,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
330,Berakou,Critically Endangered,2,Chad,0,0,0,0,0,1,24.366,13.2
331,Berbice Creole Dutch,Extinct,0,Guyana,0,0,0,0,0,1,27.162,81.7
332,Bering Aleut,Extinct,0,Russian Federation,0,0,0,0,0,1,75.331,92.2
333,Berinomo,Endangered,178,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
334,Besme,Threatened,1230,Chad,0,0,0,0,0,1,24.366,13.2
335,Betaf,Endangered,600,Indonesia,0,0,0,0,0,1,58.572,69.2
336,Bete,Severely Endangered,3,Nigeria,0,0,0,0,0,1,54.283,39.2
337,Beti,Endangered,200,Côte d'Ivoire,0,0,0,0,0,1,53.149,40.7
339,Bezhta,Threatened,6200,Russian Federation,0,0,0,0,0,1,75.331,92.2
340,Bhadrawahi,Vulnerable,69000,Pakistan;India,0,0,0,0,0,2,38.04,27.4
341,Bhaya,Endangered,700,Pakistan,0,0,0,0,0,1,38.04,27.4
343,Biafada,Vulnerable,44900,Guinea-Bissau,0,0,0,0,0,1,45.466,32.5
344,Biak,Severely Endangered,70000,Indonesia,0,0,0,0,0,1,58.572,69.2
345,Bibbulman,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
