,official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
2753,Uda,Threatened,10000,Nigeria,0,0,0,0,1,1,54.283,39.2
2754,Udege,Critically Endangered,100,Russian Federation,0,0,0,0,0,1,75.331,92.2
2755,Udi,Endangered,5500,Russian Federation;Azerbaijan;Georgia,0,0,0,0,0,3,75.331,92.2
2756,Udmurt,Threatened,324338,Russian Federation,0,0,0,0,0,1,75.331,92.2
2757,Ugong,Critically Endangered,50,Thailand,0,0,0,0,0,1,53.608,89.5
2758,Uisai,Threatened,2500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2759,Ujir,Endangered,980,Indonesia,0,0,0,0,0,1,58.572,69.2
2761,Ukit,Endangered,120,Malaysia,0,0,0,0,0,1,78.716,97.7
2762,Ukuriguma,Endangered,170,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2763,Ukwa,Endangered,100,Nigeria,0,0,0,0,0,1,54.283,39.2
2764,Ulau-Suain,Threatened,1271,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2765,Ulch,Critically Endangered,1000,Russian Federation,0,0,0,0,0,1,75.331,92.2
2767,Ulwa,Severely Endangered,600,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2768,Uma' Lung,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
2769,Umbugarla,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2770,Umbuygamu,Critically Endangered,7,Australia,0,0,0,0,0,1,86.617,97.1
2771,Ume Saami,Critically Endangered,20,Sweden,0,0,0,0,0,1,88.738,95.7
2772,Umiida,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2773,Umpila,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
2774,Umpithamu,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
2775,Unami,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
2777,Unggarranggu,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2778,Unggumi,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
2779,Upland Yuman,Threatened,1650,United States,0,0,0,0,0,1,83.298,93.1
2780,Upper Kuskokwim,Critically Endangered,25,United States,0,0,0,0,0,1,83.298,93.1
2781,Upper Silesian,Vulnerable,56000,Poland,0,0,0,0,0,1,60.218,86.4
2782,Upper Sorbian,Vulnerable,18240,Germany,0,1,1,0,0,1,77.765,92.5
2783,Upper Southeastern Chinantec,Threatened,3140,Mexico,0,0,0,0,0,1,81.582,81.2
2784,Upper Tanana,Critically Endangered,55,United States;Canada,0,0,0,0,0,2,83.298,94.0
2785,Upper West-Central Chinantec,Threatened,7410,Mexico,0,0,0,0,0,1,81.582,81.2
2786,Ura (Papua New Guinea),Threatened,1900,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
2787,Ura (Vanuatu),Critically Endangered,6,Vanuatu,0,0,0,0,0,1,25.976,45.7
2788,Uradhi,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
2789,Urapmin,Endangered,370,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
